podstatné jmeno;typ;left;kwic;right;kwic pos;kwic pos2;kwic length
odpor;N-V;Národní ;odpor Chovám ;k národu odpor a ani ty se lvíčkem na prsou smířit se nechceš , bazíruješ na tom , že je to veteš . ;N-V;N-V;2
odpor;N-V;""" Při zadržení nekladl žádný ";odpor , choval ;"se klidně , "" doplnil důvěryhodný policejní zdroj . ";N-Z-V;N-Z:-V;3
odpor;N-V;Dělal si , co chtěl , nesnesl žádný ;odpor a choval ;se až hulvátsky . ;N-J-V;N-J^-V;3
odpor;N-V;Ale alespoň jako prodavači potlačme svou přirozenost , jež tíhne k neskrývané otrávenosti až drzosti , a nedávejme tak zřetelně najevo svůj ;"odpor vůči "" vlezlým "" zákazníkům , kteří si mylně myslí , že se mohou v okamžiku , kdy vydávají své peníze , chovat ";jako velcí páni , ba přímo trýznitelé obsluhy . ;N-R-Z-A-Z-N-Z-P-P-D-V-Z-J-P-V-R-N-Z-D-V-P-N-Z-V;N-RR-Z:-AA-Z:-NN-Z:-P4-P7-Dg-VB-Z:-J,-P7-VB-RR-NN-Z:-Db-VB-P8-NN-Z:-V;24
odpor;N-V;plní sebeúcty , bez ohledu na to , jaký ;odpor mohou chovat ;ke Castrově politice , budou stranit USA , « varoval zástupce ministra zahraničí R . Richard Rubottom , » zajdeme - li až tak daleko v odvetě , že už nebude spor mezi Castrem a skutečnými zájmy Kubánců , ale mezi USA a jejich zemí « . ;N-V-V;N-VB-V;3
odpor;N-V;Vidím ;odpor vůči lidem , kteří se chovají ;špatně , a to může být kdokoli . ;N-R-N-Z-P-P-V;N-RR-NN-Z:-P4-P7-V;7
odpor;N-V;Bývají mladí , úspěšní , nejsou zvyklí na ;odpor a dovedou se chovat ;bezohledně . ;N-J-V-P-V;N-J^-VB-P7-V;5
odpor;N-V;""" Ona žádný ";odpor neprojevila , byla veselá a chovala ;se vyzývavě . ;N-V-Z-V-A-J-V;N-Vp-Z:-Vp-AA-J^-V;7
odpor;N-V;Při zatýkání nekladl žádný ;odpor , ale snažil se chovat ;""" jako gentleman "" , uvedla policie . ";N-Z-J-V-P-V;N-Z:-J^-Vp-P7-V;6
odpor;N-V;Také při předvádění na policii žena údajně kladla ;odpor a chovala ;se agresivně i vůči policistům . ;N-J-V;N-J^-V;3
odpor;N-V;To by mohl být příspěvek k odpovědi na občas slýchanou výtku židovským komunitám , že se jejich členové nebránili , že nekladli ;odpor , že se chovali ;jako ovce . ;N-Z-J-P-V;N-Z:-J,-P7-V;5
odpor;N-V;Nedává najevo ;odpor k cizincům , nechová ;se nadutě k lidem , kteří nesdílejí jeho ideje . ;N-R-N-Z-V;N-RR-NN-Z:-V;5
odpor;N-V;""" Při zadržení nekladl žádný ";odpor , choval ;"se klidně , "" doplnil důvěryhodný policejní zdroj . ";N-Z-V;N-Z:-V;3
odpor;N-V;Jelikož muž a žena kladli ;odpor a chovali ;se agresivně , skončili s pouty na rukou . ;N-J-V;N-J^-V;3
odpor;N-V;Vzhledem k tomu , že muži kladli pasivní a později i aktivní ;odpor a chovali ;se arogantně a agresivně , byla na místo přivolána i hlídka státní policie , “ pokračuje Markéta Švehlíková . ;N-J-V;N-J^-V;3
odpor;N-V;A veřejně se přihlásit k feminismu ve společnosti , která má k tomuto pojmu instinktivní ;odpor a chová ;vůči němu hromadu předsudků , to chce značnou dávku odvahy . ;N-J-V;N-J^-V;3
odpor;V-N;Ten jeden , to byl Eddie , ten chlap , co věnoval právě v tu chvíli tak dokonalou pozornost panu Finneganovi , chlap , kterého chtěla Florence zase pro sebe zpátky , jak se právě vyjádřila , Eddie , který se ;choval přesně předvídatelným způsobem , skrýval různé averze pod úsměvem a potlačoval jakýkoli vlastní odpor ;dřív , než začal přerůstat obvyklou míru . ;V-D-A-N-Z-V-A-N-R-N-J-V-P-A-N;V-Dg-AA-NN-Z:-Vp-AA-NN-RR-NN-J^-Vp-PZ-AA-N;15
odpor;V-N;Podle ní Rybák , který naposledy žil v pronajatém bytě v rodinném domku v Říčanech s družkou , jejími dvěma dcerkami a vlastním nezletilým synem , se začal na sklonku roku 2000 ;chovat k tehdy třináctileté Elišce důvěrně a snažil se ji přes její odpor ;osahávat . ;V-R-D-A-N-D-J-V-P-P-R-P-N;V-RR-Db-AA-NN-Dg-J^-Vp-P7-PP-RR-PS-N;13
odpor;V-N;Je všeobecně známo , že policisté radí ;chovat se v případě střetnutí s násilníkem jakéhokoliv druhu pasivně a nepokoušet se o odpor ;, aby v něm nebyla vzbuzena touha po vybití zadržované agresivity a prolévání krve . ;V-P-R-N-N-R-N-P-N-D-J-V-P-R-N;V-P7-RR-NN-NN-RR-NN-PZ-NN-Dg-J^-Vf-P7-RR-N;15
odpor;V-N;Možná to nebylo první setkání ani první střet , ale vím , že se to stalo u domu a uprostřed léta , pravděpodobně několik dní před oním odpolednem , kdy se schylovalo k dalšímu silnému lijáku a David se objevil před matkou , v náručí ;choval psa se srstí černou jako noc , hubeného a strašně špinavého , starého hafana vzbuzujícího spíš odpor ;. ;V-N-R-N-A-J-N-Z-A-J-D-A-Z-A-N-A-T-N;V-NN-RV-NN-AA-J,-NN-Z:-AA-J^-Dg-AA-Z:-AA-NN-AG-TT-N;18
odpor;V-N;Krůček po krůčku nechává čtenáře nahlédnout do jejich nejbanálnější každodennosti : jak se ;chovají , jak reagují na telefonát o matčině mrtvici , jak nepokrytě projevují odpor ;k vlastní rodině , se kterou původní vazby přetrhali už dávno . ;V-Z-D-V-R-N-R-A-N-Z-D-D-V-N;V-Z:-Db-VB-RR-NN-RR-AU-NN-Z:-Db-Dg-VB-N;14
odpor;V-N;Hlavní je uchránit život a zdraví , ;chovejte se podle toho , nesnažte se útočníkovi klást aktivní odpor ;. ;V-P-R-P-Z-V-P-N-V-A-N;V-P7-RR-PD-Z:-Vi-P7-NN-Vf-AA-N;11
odpor;V-N;Zajímalo by mě , jestli se někdo zajímal o to , jaké by to bylo , kdyby na všech těch místech se Romové ;"chovali stejně jako ti "" cizí lidi odněkud , ani nevím odkud "" a postavili se jim na odpor ";a začali svá obydlí , potažmo své životy , bránit . ;V-D-J-P-Z-A-N-D-Z-J-V-D-Z-J-V-P-P-R-N;V-Dg-J,-PD-Z:-AA-NN-Db-Z:-J^-VB-Db-Z:-J^-Vp-P7-PP-RR-N;19
odpor;V-N;Podivínse však ;choval velmi arogantně , odmítal spolupracovat a ve chvíli , kdy byl vyzván k následování hlídky ke služebnímu vozu , začal klást aktivní odpor ;. ;V-D-D-Z-V-V-J-R-N-Z-D-V-V-R-N-N-R-A-N-Z-V-V-A-N;V-Db-Dg-Z:-Vp-Vf-J^-RV-NN-Z:-Db-Vp-Vs-RR-NN-NN-RV-AA-NN-Z:-Vp-Vf-AA-N;24
odpor;V-N;Debra Pettigrewová se ;chovala mnohem uvolněněji než kdy dřív , ale konečný odpor ;kladla stejně pevně . ;V-D-D-J-D-D-Z-J-A-N;V-Db-Dg-J,-Db-Dg-Z:-J^-AA-N;10
odpor;V-N;Vystupovat tímto způsobem vůči svému okolí je snesitelné jen u nejvyšších státníků , když se tak ;chová řadový politik , budí to buď odpor ;, nebo smích . ;V-A-N-Z-V-P-J-N;V-AA-NN-Z:-VB-PD-J^-N;8
odpor;V-N;Na okrajích topologického izolátoru se elektrony mohou pohybovat prakticky pouze po přímce , nesrážejí se , nedochází ke ztrátám energie , a materiál se tedy ;chová , jako by neměl odpor ;. ;V-Z-J-V-V-N;V-Z:-J,-Vc-Vp-N;6
odpor;V-N;""" Všimnout si , že i k vlastním dětem z prvního manželství se ";chová autoritativně , že nesnáší odpor ;". "" ";V-D-Z-J-V-N;V-Dg-Z:-J,-VB-N;6
odpor;V-N;Takové pneumatiky se pak lépe ;chovají na vodě , mají menší valivý odpor ;, což se projeví na spotřebě , nebo jsou stavěny na vyšší rychlosti . ;V-R-N-Z-V-A-A-N;V-RR-NN-Z:-VB-AA-AA-N;8
odpor;V-N;Asi nikoho nepřekvapí , jakým způsobem voda teče v korytě potoka , jak se ;chová , pokud ji vyléváme z láhve , popřípadě jaký odpor ;klade při míchání nebo v okamžiku , kdy do ní třeba skočíme . ;V-Z-J-P-V-R-N-Z-D-P-N;V-Z:-J,-PP-VB-RR-NN-Z:-Db-P4-N;11
odpor;V-N;Také k návnadě se ;chová jinak , nevrhá se po ní dravě , ale jemně popotahuje , a když ucítí větší odpor ;, pouští . ;V-D-Z-V-P-R-P-D-Z-J-D-V-Z-J-J-V-A-N;V-Db-Z:-VB-P7-RR-P5-Dg-Z:-J^-Dg-VB-Z:-J^-J,-VB-AA-N;18
odpor;V-N;V medovém poli se tyto částice začnou ;chovat jako hmotné , budou třeba klást odpor ;změně pohybu . ;V-J-A-Z-V-D-V-N;V-J,-AA-Z:-VB-Db-Vf-N;8
odpor;V-N;Nepřipouštělo žádné výjimky a abnormality , lidé uctívali vzory , museli se jim fyzicky podobat i se podle nich ;"chovat , "" popisuje období vlády královny Viktorie brněnská historička Milena Flodrová a dodává , že spíše než soucit a snahu pomoci vyvolávaly jakékoliv , tedy i fyzické , anomálie děs , hrůzu a odpor ";. ;V-Z-Z-V-N-N-N-N-A-N-N-N-J-V-Z-J-T-J-N-J-N-V-V-P-Z-T-J-A-Z-N-N-Z-N-J-N;V-Z:-Z:-VB-NN-NN-NN-NN-AA-NN-NN-NN-J^-VB-Z:-J,-TT-J,-NN-J^-NN-Vf-Vp-PZ-Z:-TT-J^-AA-Z:-NN-NN-Z:-NN-J^-N;35
odpor;V-N;Muž se podle jejích informací i nadále ;choval agresivně a kladl aktivní odpor ;. ;V-D-J-V-A-N;V-Dg-J^-Vp-AA-N;6
odpor;V-N;Velmi podobným způsobem se ;"chovali normalizační ideologové , když pořádali nejrůznější kampaně proti "" zkrachovancům a ztroskotancům "" ve snaze vyvolat proti nim odpor ";veřejnosti . ;V-A-N-Z-J-V-A-N-R-Z-N-J-N-Z-R-N-V-R-P-N;V-AA-NN-Z:-J,-Vp-AA-NN-RR-Z:-NN-J^-NN-Z:-RV-NN-Vf-RR-P5-N;20
odpor;V-N;Kotleba se ;chová jako feudál a ti , kdo představení hráli , se zachovali jako poddaní , bez toho , aby se postavili na odpor ;. ;V-J-N-J-P-Z-P-N-V-Z-P-V-J-A-Z-R-P-Z-J-P-V-R-N;V-J,-NN-J^-PD-Z:-PK-NN-Vp-Z:-P7-Vp-J,-AA-Z:-RR-PD-Z:-J,-P7-Vp-RR-N;23
odpor;V-N;Brutální počínání uniformovaných anglických jednotek , které se v Irsku dvacátých let dvacátého století ;chovaly jako na koloniálním území , povyšuje celý příběh nad jedno historické ohlédnutí a propůjčuje mu metaforické ambice směřující k současným válečným konfl iktům , v nichž zdánliví vítězové , jimž rovněž nejsou cizí ukrutnosti , narážejí na ozbrojený odpor ;. ;V-J-R-A-N-Z-V-A-N-R-C-A-N-J-V-P-A-N-A-R-A-A-X-N-Z-R-P-A-N-Z-P-D-V-A-N-Z-V-R-A-N;V-J,-RR-AA-NN-Z:-VB-AA-NN-RR-Cl-AA-NN-J^-VB-PH-AA-NN-AG-RR-AA-AA-X@-NN-Z:-RR-P9-AA-NN-Z:-PJ-Db-VB-AA-NN-Z:-VB-RR-AA-N;40
odpor;V-N;Na výstupu se má zesilovač ;chovat jako tvrdý zdroj : R VÝST < < R Z . Aby zesilovač výkonově nezatěžoval generátor , musí platit : R VST > > R G . Zvolíme proto vstupní odpor ;jako desetinásobek odporu generátoru : R VST = 6 kW . ;V-J-A-N-Z-B-X-Z-Z-B-B-Z-J-N-D-V-N-Z-V-V-Z-B-B-Z-Z-B-B-Z-V-D-A-N;V-J,-AA-NN-Z:-BN-X@-Z:-Z:-BN-BN-Z0-J,-NN-Dg-Vp-NN-Z:-VB-Vf-Z:-BN-BN-Z:-Z:-BN-BN-Z0-VB-Db-AA-N;32
odpor;V-N;Podle moderátorky se prezident nikdy při přípravě obsahu Hovorů ;"nechoval autoritativně , ale tentokrát , jak řekla , "" kladl tuhý odpor ";"k otázkám osobního rázu "" . ";V-D-Z-J-D-Z-D-V-Z-Z-V-A-N;V-Dg-Z:-J^-Db-Z:-Db-Vp-Z:-Z:-Vp-AA-N;13
odpor;V-N;„ Muž se navíc ;choval stále agresivněji a kladl aktivní odpor ;, proto ho museli strážníci zpacifikovat a odvézt na karvinskou záchytku , “ dodal ředitel . ;V-D-D-J-V-A-N;V-Dg-Dg-J^-Vp-AA-N;7
odpor;V-N;Právě její rodině patří statek , kde ve filmu ;chovali koně a kam hrdinka Lenka chodila přes odpor ;dospělých za vzpupným koněm . ;V-N-J-D-N-N-V-R-N;V-NN-J^-Db-NN-NN-Vp-RR-N;9
odpor;V-N;William při bližším pohledu není zlý člověk , jen se ;chová podle dobových zvyklostí , není zvyklý na odpor ;, jiný názor či jiný pohled , než sám vyznává . ;V-R-A-N-Z-V-A-R-N;V-RR-AA-NN-Z:-VB-AA-RR-N;9
odpor;V-N;Pacienti na pohovce se však přesto ;chovali tak , jakoby tento mechanismus byl nevědomý , tím , že projevovali odpor ;. ;V-D-Z-J-P-N-V-A-Z-P-Z-J-V-N;V-Db-Z:-J,-PD-NN-Vp-AA-Z:-PD-Z:-J,-Vp-N;14
odpor;V-N;;Choval se agresivně , upadl na zem a kladl odpor ;", "" uvedla přerovská policejní mluvčí Michaela Sedláčková . ";V-P-D-Z-V-R-N-J-V-N;V-P7-Dg-Z:-Vp-RR-NN-J^-Vp-N;10
odpor;V-N;Všichni ostatní se však ;chovali jako splašené stádo , pobíhali zmateně sem a tam , bez naděje na útěk , bez myšlenky na odpor ;. ;V-J-A-N-Z-V-D-D-J-D-Z-R-N-R-N-Z-R-N-R-N;V-J,-AA-NN-Z:-Vp-Dg-Db-J^-Db-Z:-RR-NN-RR-NN-Z:-RR-NN-RR-N;20
odpor;V-N;Někdejší irácký vůdce se i včera ;"choval vzdorovitě , jako by chtěl dokázat , že je hoden jména Saddám - v arabštině "" Ten , kdo se staví na odpor ";""" . ";V-D-Z-J-V-V-V-Z-J-V-A-N-N-Z-R-N-Z-P-Z-P-P-V-R-N;V-Dg-Z:-J,-Vc-Vp-Vf-Z:-J,-VB-AC-NN-NN-Z:-RR-NN-Z:-PD-Z:-PK-P7-VB-RR-N;24
odpor;V-N;Přivolaným strážníkům odmítl prokázat totožnost , hrozil jim fyzickou likvidací , ;choval se agresivně a kladl odpor ;. ;V-P-D-J-V-N;V-P7-Dg-J^-Vp-N;6
odpor;V-N;;Choval se vždy profesionálně velmi tvrdě , aby získal peníze , a nikdo mu nekladl odpor ;. ;V-P-D-D-D-D-Z-J-V-N-Z-J-P-P-V-N;V-P7-Db-Dg-Db-Dg-Z:-J,-Vp-NN-Z:-J^-PW-PH-Vp-N;16
odpor;V-N;„ ;Choval se agresivně , kladl aktivní fyzický odpor ;, chtěl se prát a nechtěl nastoupit do vozidla . ;V-P-D-Z-V-A-A-N;V-P7-Dg-Z:-Vp-AA-AA-N;8
odpor;V-N;Stává se to tehdy , když se zákazník přestává ;chovat rezervovaně , chladně a přestává klást odpor ;, a najednou začne být přátelský a milý . ;V-D-Z-D-J-V-V-N;V-Dg-Z:-Dg-J^-VB-Vf-N;8
odpor;V-N;Celé dlouhé dny se k posádce zajaté v somálských vodách ;nechovali špatně , jenom ji neustále hlídali a při sebemenším podezření ukazovali výmluvnými gesty , že každému , kdo se postaví na odpor ;, podříznou krk . ;V-D-Z-D-P-D-V-J-R-A-N-V-A-N-Z-J-P-Z-P-P-V-R-N;V-Dg-Z:-Db-PP-Dg-Vp-J^-RR-AA-NN-Vp-AA-NN-Z:-J,-PL-Z:-PK-P7-VB-RR-N;23
odpor;V-N;Ocitnuv se v samém středu historického cyklónu , musím se ;chovat co nejrozvážněji , tedy navenek se úplně poddat silám , které s lehkostí ničí ty , kdo se jim postaví na odpor ;. ;V-J-D-Z-T-D-P-D-V-N-Z-P-R-N-V-P-Z-P-P-P-V-R-N;V-J,-Dg-Z:-TT-Db-P7-Dg-Vf-NN-Z:-P4-RR-NN-VB-PD-Z:-PK-P7-PP-VB-RR-N;23
odpor;V-N;Stejně tak když mi klient říká , že ke své ženě cítí citový odpor , že se jí štítí , tak zpravidla ještě může tento pocit ignorovat a dál se k ženě ;chovat formálně korektně , v n ale přesto nikdy n neměl možnost volby , ab aby si řekl : „ Teď si na naordinuji štítivý odpor ;po a pozítří ho zase vyp vypnu . “ D Díky tomuto terminologickému nolo nedorozumění zum a zbytečné kritice Plzáka se ale vlastně nedostává autor k jádru problému dnešního světa . ;V-D-D-Z-R-B-J-J-D-B-V-N-N-Z-B-J-P-V-Z-Z-D-P-R-V-A-N;V-Dg-Dg-Z:-RR-BN-J^-J^-Db-BN-Vp-NN-NN-Z:-BN-J,-P7-Vp-Z:-Z:-Db-P7-RR-VB-AA-N;26
odpor;V-N;V okamžiku výskytu zkratu , kdy hodnota proudu překročí určitou kritickou hodnotu , materiál přestane být supravodivý a začne se ;chovat jako rezistor , který začíná klást proudu odpor ;. ;V-J-N-Z-P-V-V-N-N;V-J,-NN-Z:-P4-VB-Vf-NN-N;9
odpor;V-N;„ Policisté chtěli podezřelého muže zajistit , ten se ;choval agresivně , kladl aktivní odpor ;a policisté mu museli nasadit pouta , “ upozornila policejní mluvčí Jana Kroutilová . ;V-D-Z-V-A-N;V-Dg-Z:-Vp-AA-N;6
odpor;V-N;throttle - joystick se umí ;chovat jako knipl v opravdovém letadle ( například se při akceleraci chvěje , při stoupání klade odpor ;a v prudkých zatáčkách škube ) ;V-J-N-R-A-N-Z-T-P-R-N-V-Z-R-N-V-N;V-J,-NN-RR-AA-NN-Z:-TT-P7-RR-NN-VB-Z:-RR-NN-VB-N;17
odpor;V-N;K návnadě se ;chová zcela jinak než temperamentní štika , rybičku jemně potahuje a když ucítí odpor ;těžšího číhátka nebo nepříliš jemné brzdy , pouští . ;V-D-D-J-A-N-Z-N-D-V-J-J-V-N;V-Db-Db-J,-AA-NN-Z:-NN-Dg-VB-J^-J,-VB-N;14
odpor;V-N;Přitom se ale ;nechová hezky ke zvířatům na dvoře ( vrtuli letadla si udělá ze psa , ocas z peří krocana ) ani ke své družce Minnie , již přes její odpor ;nutí k polibku a škodolibě se jí vysmívá , když se bojí rychlého letu . ;V-D-R-N-R-N-Z-N-N-P-V-R-N-Z-N-R-N-N-Z-J-R-P-N-N-Z-P-R-P-N;V-Dg-RV-NN-RR-NN-Z:-NN-NN-P7-VB-RV-NN-Z:-NN-RR-NN-NN-Z:-J^-RV-P8-NN-NN-Z:-PJ-RR-PS-N;29
odpor;V-N;Jako bývalý operativec agentury v Latinské Americe a kongresman z Floridy se Goss v Langley ;choval jako slon v porcelánu a narazil nejen na odpor ;podřízených , ale také na svého šéfa , ředitele národního zpravodajství Johna Negroponteho . ;V-J-N-R-N-J-V-D-R-N;V-J,-NN-RR-NN-J^-Vp-Db-RR-N;10
odpor;V-N;"V okamžicích rozdvojení se prý její "" originál "" ";"choval poněkud mdle a unaveně , zatímco skrz "" kopii "" sice údajně šlo projít , bylo však při tom cítit lehký odpor ";. ;V-D-D-J-D-Z-J-R-Z-N-Z-J-D-V-V-Z-V-J-R-P-V-A-N;V-Db-Dg-J^-Dg-Z:-J,-RR-Z:-NN-Z:-J^-Dg-Vp-Vf-Z:-Vp-J^-RR-PD-Vf-AA-N;23
odpor;V-N;Lék vhodný pro tmavovlasé děti , velmi protivné , podrážděné , se špatnou náladou , chtějí se ;chovat , ale chování nepřináší žádnou úlevu , nechtějí , aby se jich někdo dotýkal , nesnesou , když se k nim někdo přiblíží , mají odpor ;k laskání , chtějí mnoho věcí , ale hned vše odmítnou ( sr . Ant . t . , Bry . , Cham . , Staph . ) . ;V-Z-J-N-V-P-N-Z-V-Z-J-P-P-P-V-Z-V-Z-J-P-R-P-P-V-Z-V-N;V-Z:-J^-NN-VB-PW-NN-Z:-VB-Z:-J,-P7-PP-PZ-Vp-Z:-VB-Z:-J,-P7-RR-P5-PZ-VB-Z:-VB-N;27
odpor;V-N;Takto se však ;chovali po dlouhou dobu , aniž by vyprovokovali větší odpor ;než mručení nebo posměch . ;V-R-A-N-Z-J-V-V-A-N;V-RR-AA-NN-Z:-J,-Vc-Vp-AA-N;10
odpor;V-N;Pokud jde o Rogoze , měl se ;chovat jako suverén , a kdykoli ucítil odpor ;, oháněl se Berbrem . ;V-J-N-Z-J-D-V-N;V-J,-NN-Z:-J^-Db-Vp-N;8
odpor;V-N;Muž se podle jejích informací i nadále ;choval agresivně a kladl aktivní odpor ;. ;V-D-J-V-A-N;V-Dg-J^-Vp-AA-N;6
odpor;V-N;On nikdo z nás holuby ;nechová , ale když to večer řekneme našim manželkám , že jdeme na schůzi holubářů , jsou tak překvapené , že se nezmůžou na odpor ;a my v klidu a rychle vypadneme z domovů . ;V-Z-J-J-P-D-V-P-N-Z-J-V-R-N-N-Z-V-D-A-Z-J-P-V-R-N;V-Z:-J^-J,-PD-Db-VB-PS-NN-Z:-J,-VB-RR-NN-NN-Z:-VB-Db-AA-Z:-J,-P7-VB-RR-N;25
odpor;V-N;Kim , jenž je původem Korejec , ale jeho občanství nebylo oznámeno , se ;choval klidně a při zatýkání nekladl odpor ;. ;V-D-J-R-N-V-N;V-Dg-J^-RR-NN-Vp-N;7
odpor;V-N;Uplatnění křemíku je dáno především tím , že se ;chová jako polovodič , což znamená , že může klást elektrickému proudu odpor ;jak velmi velký , tak i velmi malý - v závislosti na příměsích , které se do něho složitými způsoby vpravují . ;V-J-N-Z-P-V-Z-J-V-V-A-N-N;V-J,-NN-Z:-PE-VB-Z:-J,-VB-Vf-AA-NN-N;13
odpor;V-N;Předloni se začal ;chovat k tehdy třináctileté Elišce důvěrně a snažil se ji přes její odpor ;osahávat . ;V-R-D-A-N-D-J-V-P-P-R-P-N;V-RR-Db-AA-NN-Dg-J^-Vp-P7-PP-RR-PS-N;13
odpor;V-N;Nechceme se ale ;chovat tak agresivně , abychom na celém světě vyvolávali odpor ;a nepřátelství . ;V-D-D-Z-J-R-A-N-V-N;V-Db-Dg-Z:-J,-RR-AA-NN-Vp-N;10
odpor;V-N;„ Tak se ;chovají sociopaté – zmanipulují si druhé tak , aby vyhovovali jejich potřebám , nemilosrdně a efektivně , s žádnou tolerancí pro odklonění nebo odpor ;. ;V-N-Z-V-P-C-D-Z-J-V-P-N-Z-D-J-D-Z-R-P-N-R-N-J-N;V-NN-Z:-VB-P7-Cr-Db-Z:-J,-Vp-PS-NN-Z:-Dg-J^-Dg-Z:-RR-PW-NN-RR-NN-J^-N;24
odpor;V-N;Lze proto očekávat , že se bude k přijatému textu ;chovat lhostejně a dodatek nevyvolá její hlasitý odpor ;. ;V-D-J-N-V-P-A-N;V-Dg-J^-NN-VB-PS-AA-N;8
odpor;V-N;Kdo se sportem nezabývá prakticky ani o něm neuvažuje „ teoreticky “ , vesměs ;chová ke sportu jako takovému , natožpak k tomu vrcholovému odstup , ne - li odpor ;. ;V-R-N-J-P-Z-D-R-P-A-N-Z-T-Z-T-N;V-RV-NN-J,-PD-Z:-Db-RR-PD-AA-NN-Z:-TT-Z0-TT-N;16
odpor;V-N;Flaubert už od chlapeckého věku ;choval odpor k optimismu své vlasti – odpor ;, kterému dal výraz v Paní Bovaryové popisem kruté víry ve vědu u nejodpudivější postavy románu , lékárníka Homaise . ;V-N-R-N-P-N-Z-N;V-NN-RR-NN-P8-NN-Z:-N;8
odpor;V-N;Ta ale odmítala s hlídkou spolupracovat , začala se ;chovat agresivně a kladla fyzický odpor ;. ;V-D-J-V-A-N;V-Dg-J^-Vp-AA-N;6
odpor;V-N;""" Ve světě mezinárodních dohod a mnohonárodních organizací se USA ";chovají jako hulvát na školním dvoře , který ví , že se mu nikdo nepostaví na odpor ;. ;V-J-N-R-A-N-Z-P-V-Z-J-P-P-P-V-R-N;V-J,-NN-RR-AA-NN-Z:-P4-VB-Z:-J,-P7-PH-PW-VB-RR-N;17
odpor;V-N;V okamžiku výskytu zkratu , kdy hodnota proudu překročí určitou kritickou hodnotu , materiál přestane být supravodivý a začne se ;chovat jako rezistor , který začíná klást proudu odpor ;. ;V-J-N-Z-P-V-V-N-N;V-J,-NN-Z:-P4-VB-Vf-NN-N;9
odpor;V-N;Museli se ale i tak ;chovat nenápadně , aby nenarazili na odpor ;starších lidí , kteří často jakékoli novoty ostře odsuzovali . ;V-D-Z-J-V-R-N;V-Dg-Z:-J,-Vp-RR-N;7
odpor;V-N;Oba se z elektrického hlediska ;chovají jako izolátory ( mají vysoký měrný odpor ;) a vykazují nízkou hodnotu relativní permitivity . ;V-J-N-Z-V-A-A-N;V-J,-NN-Z:-VB-AA-AA-N;8
odpor;V-N;Když policie přijela , tak se muž ;choval agresivně , nereagoval na policejní výzvy a klad odpor ;. ;V-D-Z-V-R-A-N-J-N-N;V-Dg-Z:-Vp-RR-AA-NN-J^-NN-N;10
odpor;V-N;A také to , že když tkáně chytnete , ;chovají se podobně jako ve skutečnosti , kladou určitý odpor ;. “ ;V-P-D-J-R-N-Z-V-A-N;V-P7-Dg-J,-RV-NN-Z:-VB-AA-N;10
odpor;V-N;„ Protože se opilec ;choval agresivně a kladl aktivní odpor ;, musela hlídka použít donucovacích prostředků , “ uvedl ředitel Městské policie Havířov Bohuslav Muras . ;V-D-J-V-A-N;V-Dg-J^-Vp-AA-N;6
odpor;V-N;Protože se dvojice ;chovala agresivně , napadala kolemjdoucí a kladla hlídce odpor ;, skončila rovněž na záchytce . ;V-D-Z-V-N-J-V-N-N;V-Dg-Z:-Vp-NN-J^-Vp-NN-N;9
odpor;V-N;Fyzikální zákony jsou důležité a platí nezávisle na tom , jestli k nim ;chováme sympatie , či odpor ;. ;V-N-Z-J-N;V-NN-Z:-J^-N;5
odpor;V-N;Jakeš se naproti tomu ;choval tak , že vzbuzoval vůči své straně odpor ;i u těch , kterým proti ní nestačily racionální argumenty . ;V-D-Z-J-V-R-P-N-N;V-Db-Z:-J,-Vp-RR-P8-NN-N;9
odpor;V-N;Pro malé změny dílčích proudů se emitor kompenzačního tranzistoru ;chová jako vstup zesilovače v zapojení SB , takže uplatní svůj velmi malý vstupní odpor ;. ;V-J-N-N-R-N-B-Z-J-V-P-D-A-A-N;V-J,-NN-NN-RR-NN-BN-Z:-J,-VB-P8-Db-AA-AA-N;15
odpor;V-N;Někdy se ;choval jako macho a já jsem se téhle jeho vlastnosti v dědictví bála , měla jsem k tomu odpor ;a strach , že bych to mohla mít po něm . ;V-J-N-J-P-V-P-P-P-N-R-N-V-Z-V-V-R-P-N;V-J,-NN-J^-PP-VB-P7-PD-PS-NN-RR-NN-Vp-Z:-Vp-VB-RR-PD-N;19
odpor;V-N;""" Takové pneumatiky se pak lépe ";chovají na vodě , mají menší valivý odpor ;, což se projeví na spotřebě , nebo jsou stavěny na vyšší rychlosti . ;V-R-N-Z-V-A-A-N;V-RR-NN-Z:-VB-AA-AA-N;8
odpor;V-N;Kdyby se tak ;chovala britská vláda v polovině 60 . let , kdy přes odpor ;veřejnosti prosadila zrušení trestu smrti , byl by asi v Evropě stále rozšířen mnohokrát vyvrácený lidový blud , že trest smrti má na potenciální pachatele vražd a jiných zločinů odstrašující účinek . ;V-A-N-R-C-C-Z-N-Z-D-R-N;V-AA-NN-RR-Cy-C=-Z0-NN-Z:-Db-RR-N;12
odpor;V-N;Rozhodně bych netrestal fyzicky a snažil bych se ;chovat tak , aby dítě nezískalo k učení odpor ;. ;V-D-Z-J-N-V-R-N-N;V-Db-Z:-J,-NN-Vp-RR-NN-N;9
odpor;V-N;Možná se otec k dceři skutečně ;choval tak , že to vzbudilo její odpor ;, ale ani to nebylo předmětem rozsudku . ;V-D-Z-J-P-V-P-N;V-Db-Z:-J,-PD-Vp-PS-N;8
